MariaDB [kokiri_apr23]> select cast(revision as integer) rev,repository,branch from changes where length(revision) < 6 group by 1;
+------+---------------------------------------------------+---------------------------------------+
| rev  | repository                                        | branch                                |
+------+---------------------------------------------------+---------------------------------------+
|    1 | ~maria-captains/maria/10.1                        | 10.1                                  |
|    2 | ~maria-captains/maria/10.1                        | 10.1                                  |
|    3 | ~maria-captains/maria/10.1                        | 10.1                                  |
|    4 | ~maria-captains/maria/10.1                        | 10.1                                  |
|    5 | ~maria-captains/maria/10.1                        | 10.1                                  |
|    6 | ~maria-captains/maria/10.1                        | 10.1                                  |
|    7 | ~maria-captains/maria/10.1                        | 10.1                                  |
|    8 | ~maria-captains/maria/10.1                        | 10.1                                  |
|    9 | ~maria-captains/maria/10.1                        | 10.1                                  |
|   10 | ~maria-captains/maria/10.1                        | 10.1                                  |
|   11 | ~maria-captains/maria/10.1                        | 10.1                                  |
|   12 | ~maria-captains/maria/10.1                        | 10.1                                  |
|   13 | ~maria-captains/maria/10.1                        | 10.1                                  |
|   14 | ~maria-captains/maria/10.1                        | 10.1                                  |
|   15 | ~maria-captains/maria/10.1                        | 10.1                                  |
|   16 | ~maria-captains/maria/10.1                        | 10.1                                  |
|   17 | ~maria-captains/maria/10.1                        | 10.1                                  |
|   18 | ~maria-captains/maria/10.1                        | 10.1                                  |
|   19 | ~maria-captains/maria/10.1                        | 10.1                                  |
|   20 | ~maria-captains/maria/10.1                        | 10.1                                  |
|   21 | ~maria-captains/maria/10.1                        | 10.1                                  |
|   22 | ~maria-captains/maria/10.1                        | 10.1                                  |
|   23 | ~maria-captains/maria/10.1                        | 10.1                                  |
|   24 | ~maria-captains/maria/10.1                        | 10.1                                  |
|   25 | ~maria-captains/maria/10.1                        | 10.1                                  |
|   26 | ~maria-captains/maria/10.1                        | 10.1                                  |
|   27 | ~maria-captains/maria/10.1                        | 10.1                                  |
|   28 | ~maria-captains/maria/10.1                        | 10.1                                  |
|   29 | ~maria-captains/maria/10.1                        | 10.1                                  |
|   30 | ~maria-captains/maria/10.1                        | 10.1                                  |
|   31 | ~maria-captains/maria/10.1                        | 10.1                                  |
|   32 | ~maria-captains/maria/10.1                        | 10.1                                  |
|   33 | ~maria-captains/maria/10.1                        | 10.1                                  |
|   34 | ~maria-captains/maria/10.1                        | 10.1                                  |
|   35 | ~maria-captains/maria/10.1                        | 10.1                                  |
|   36 | ~maria-captains/maria/10.1                        | 10.1                                  |
|   37 | ~maria-captains/maria/10.1                        | 10.1                                  |
|   38 | ~maria-captains/maria/10.1                        | 10.1                                  |
|   39 | ~maria-captains/maria/10.1                        | 10.1                                  |
|   40 | ~maria-captains/maria/10.1                        | 10.1                                  |
|   41 | ~maria-captains/maria/10.1                        | 10.1                                  |
|   42 | ~maria-captains/maria/10.1                        | 10.1                                  |
|   43 | ~maria-captains/maria/10.1                        | 10.1                                  |
|   44 | ~maria-captains/maria/10.1                        | 10.1                                  |
|   45 | ~maria-captains/maria/10.1                        | 10.1                                  |
|   46 | ~maria-captains/maria/10.1                        | 10.1                                  |
|   47 | ~maria-captains/maria/10.1                        | 10.1                                  |
|   48 | ~maria-captains/maria/10.1                        | 10.1                                  |
|   49 | ~maria-captains/maria/10.1                        | 10.1                                  |
|   50 | ~maria-captains/maria/10.1                        | 10.1                                  |
|   51 | ~maria-captains/maria/10.1                        | 10.1                                  |
|   52 | ~maria-captains/maria/10.1                        | 10.1                                  |
|   53 | ~maria-captains/mariadb-native-client/trunk       | c-client-trunk                        |
|   54 | ~maria-captains/mariadb-native-client/trunk       | c-client-trunk                        |
|   55 | ~maria-captains/mariadb-native-client/trunk       | c-client-trunk                        |
|   56 | ~maria-captains/mariadb-native-client/trunk       | c-client-trunk                        |
|   57 | ~maria-captains/mariadb-native-client/trunk       | c-client-trunk                        |
|   58 | ~maria-captains/mariadb-native-client/trunk       | c-client-trunk                        |
|   59 | ~maria-captains/mariadb-native-client/trunk       | c-client-trunk                        |
|   60 | ~maria-captains/mariadb-native-client/trunk       | c-client-trunk                        |
|   61 | ~maria-captains/mariadb-native-client/trunk       | c-client-trunk                        |
|   62 | ~maria-captains/mariadb-native-client/trunk       | c-client-trunk                        |
|   63 | ~maria-captains/mariadb-native-client/trunk       | c-client-trunk                        |
|   64 | ~maria-captains/mariadb-native-client/trunk       | c-client-trunk                        |
|   65 | ~maria-captains/mariadb-native-client/trunk       | c-client-trunk                        |
|   66 | ~maria-captains/mariadb-native-client/trunk       | c-client-trunk                        |
|   67 | ~maria-captains/mariadb-native-client/trunk       | c-client-trunk                        |
|   68 | ~maria-captains/mariadb-native-client/trunk       | c-client-trunk                        |
|   69 | ~maria-captains/mariadb-native-client/trunk       | c-client-trunk                        |
