MariaDB [kokiri_apr23]> select distinct revision, branch from test_run where length(revision)<6 order by 2,1;
+----------+---------------------------------+
| revision | branch                          |
+----------+---------------------------------+
| 2743     | NULL                            |
| 2789     | NULL                            |
| 2796     | NULL                            |
| 2855     | NULL                            |
| 2856     | NULL                            |
| 2857     | NULL                            |
| 2958     | NULL                            |
| 2962     | NULL                            |
| 2963     | NULL                            |
| 2975     | NULL                            |
| 3036     | NULL                            |
| 3040     | NULL                            |
| 3201     | NULL                            |
| 3510     | 10-hf                           |
| 3511     | 10-hf                           |
| 3512     | 10-hf                           |
| 3598     | 10-hf                           |
| 3426     | 10.0                            |
| 3467     | 10.0                            |
| 3469     | 10.0                            |
| 3472     | 10.0                            |
| 3476     | 10.0                            |
| 3477     | 10.0                            |
| 3478     | 10.0                            |
| 3479     | 10.0                            |
| 3480     | 10.0                            |
| 3481     | 10.0                            |
| 3482     | 10.0                            |
| 3483     | 10.0                            |
| 3485     | 10.0                            |
| 3487     | 10.0                            |
| 3489     | 10.0                            |
| 3490     | 10.0                            |
| 3491     | 10.0                            |
| 3492     | 10.0                            |
| 3493     | 10.0                            |
| 3494     | 10.0                            |
| 3497     | 10.0                            |
| 3498     | 10.0                            |
| 3500     | 10.0                            |
| 3501     | 10.0                            |
| 3502     | 10.0                            |
| 3503     | 10.0                            |
| 3504     | 10.0                            |
| 3505     | 10.0                            |
| 3506     | 10.0                            |
| 3507     | 10.0                            |
| 3509     | 10.0                            |
| 3510     | 10.0                            |
| 3512     | 10.0                            |
| 3514     | 10.0                            |
| 3515     | 10.0                            |
| 3516     | 10.0                            |
| 3517     | 10.0                            |
| 3518     | 10.0                            |
| 3652     | 10.0                            |
| 3711     | 10.0                            |
| 3732     | 10.0                            |
| 3735     | 10.0                            |
| 3736     | 10.0                            |
| 3737     | 10.0                            |
| 3738     | 10.0                            |
| 3739     | 10.0                            |
| 3740     | 10.0                            |
| 3741     | 10.0                            |
| 3742     | 10.0                            |
| 3743     | 10.0                            |
| 3744     | 10.0                            |
| 3745     | 10.0                            |
| 3746     | 10.0                            |
| 3747     | 10.0                            |
| 3748     | 10.0                            |
| 3749     | 10.0                            |
| 3750     | 10.0                            |
| 3751     | 10.0                            |
| 3752     | 10.0                            |
| 3753     | 10.0                            |
| 3754     | 10.0                            |
| 3755     | 10.0                            |
| 3756     | 10.0                            |
| 3757     | 10.0                            |
| 3758     | 10.0                            |
| 3759     | 10.0                            |
| 3760     | 10.0                            |
| 3761     | 10.0                            |
| 3762     | 10.0                            |
| 3763     | 10.0                            |
| 3764     | 10.0                            |
| 3765     | 10.0                            |
| 3766     | 10.0                            |
| 3767     | 10.0                            |
| 3768     | 10.0                            |
| 3769     | 10.0                            |
| 3771     | 10.0                            |
| 3772     | 10.0                            |
| 3773     | 10.0                            |
| 3774     | 10.0                            |
| 3776     | 10.0                            |
| 3777     | 10.0                            |
| 3778     | 10.0                            |
| 3780     | 10.0                            |
| 3781     | 10.0                            |
| 3791     | 10.0                            |
| 3792     | 10.0                            |
| 3794     | 10.0                            |
| 3795     | 10.0                            |
| 3796     | 10.0                            |
| 3797     | 10.0                            |
| 3798     | 10.0                            |
| 3799     | 10.0                            |
| 3800     | 10.0                            |
| 3802     | 10.0                            |
| 3803     | 10.0                            |
| 3804     | 10.0                            |
| 3805     | 10.0                            |
| 3806     | 10.0                            |
| 3807     | 10.0                            |
| 3808     | 10.0                            |
| 3809     | 10.0                            |
| 3811     | 10.0                            |
| 3812     | 10.0                            |
| 3813     | 10.0                            |
| 3814     | 10.0                            |
| 3815     | 10.0                            |
| 3816     | 10.0                            |
| 3817     | 10.0                            |
| 3819     | 10.0                            |
| 3821     | 10.0                            |
| 3822     | 10.0                            |
| 3824     | 10.0                            |
| 3825     | 10.0                            |
| 3834     | 10.0                            |
| 3835     | 10.0                            |
| 3840     | 10.0                            |
| 3841     | 10.0                            |
| 3842     | 10.0                            |
| 3843     | 10.0                            |
| 3844     | 10.0                            |
| 3845     | 10.0                            |
| 3846     | 10.0                            |
| 3847     | 10.0                            |
| 3848     | 10.0                            |
| 3849     | 10.0                            |
| 3850     | 10.0                            |
| 3851     | 10.0                            |
| 3852     | 10.0                            |
| 3853     | 10.0                            |
| 3854     | 10.0                            |
| 3855     | 10.0                            |
| 3856     | 10.0                            |
| 3857     | 10.0                            |
| 3858     | 10.0                            |
| 3859     | 10.0                            |
| 3860     | 10.0                            |
| 3861     | 10.0                            |
| 3862     | 10.0                            |
| 3863     | 10.0                            |
| 3865     | 10.0                            |
| 3866     | 10.0                            |
| 3867     | 10.0                            |
| 3868     | 10.0                            |
| 3869     | 10.0                            |
| 3870     | 10.0                            |
| 3871     | 10.0                            |
| 3872     | 10.0                            |
| 3873     | 10.0                            |
| 3874     | 10.0                            |
| 3875     | 10.0                            |
| 3876     | 10.0                            |
| 3879     | 10.0                            |
| 3881     | 10.0                            |
| 3882     | 10.0                            |
| 3883     | 10.0                            |
| 3884     | 10.0                            |
| 3885     | 10.0                            |
| 3886     | 10.0                            |
| 3895     | 10.0                            |
| 3896     | 10.0                            |
| 3897     | 10.0                            |
| 3898     | 10.0                            |
| 3899     | 10.0                            |
| 3900     | 10.0                            |
| 3901     | 10.0                            |
| 3904     | 10.0                            |
| 3905     | 10.0                            |
| 3906     | 10.0                            |
| 3907     | 10.0                            |
| 3908     | 10.0                            |
| 3909     | 10.0                            |
| 3910     | 10.0                            |
| 3911     | 10.0                            |
| 3912     | 10.0                            |
| 3913     | 10.0                            |
| 3914     | 10.0                            |
| 3915     | 10.0                            |
| 3916     | 10.0                            |
| 3917     | 10.0                            |
| 3918     | 10.0                            |
| 3919     | 10.0                            |
| 3920     | 10.0                            |
| 3938     | 10.0                            |
| 3939     | 10.0                            |
| 3940     | 10.0                            |
| 3942     | 10.0                            |
| 3944     | 10.0                            |
| 3945     | 10.0                            |
| 3946     | 10.0                            |
| 3947     | 10.0                            |
| 3948     | 10.0                            |
| 3949     | 10.0                            |
| 3950     | 10.0                            |
| 3951     | 10.0                            |
| 3952     | 10.0                            |
| 3953     | 10.0                            |
| 3954     | 10.0                            |
| 3955     | 10.0                            |
| 3956     | 10.0                            |
| 3957     | 10.0                            |
| 3958     | 10.0                            |
| 3959     | 10.0                            |
| 3960     | 10.0                            |
| 3961     | 10.0                            |
| 3962     | 10.0                            |
| 3963     | 10.0                            |
| 3964     | 10.0                            |
| 3965     | 10.0                            |
| 3966     | 10.0                            |
| 3967     | 10.0                            |
| 3968     | 10.0                            |
| 3969     | 10.0                            |
| 3970     | 10.0                            |
| 3974     | 10.0                            |
| 3976     | 10.0                            |
| 3978     | 10.0                            |
| 3979     | 10.0                            |
| 3983     | 10.0                            |
| 3984     | 10.0                            |
| 3992     | 10.0                            |
| 3993     | 10.0                            |
| 3994     | 10.0                            |
| 3995     | 10.0                            |
| 3996     | 10.0                            |
| 3997     | 10.0                            |
| 3999     | 10.0                            |
| 4001     | 10.0                            |
| 4002     | 10.0                            |
| 4005     | 10.0                            |
| 4006     | 10.0                            |
| 4007     | 10.0                            |
| 4008     | 10.0                            |
| 4009     | 10.0                            |
| 4010     | 10.0                            |
| 4011     | 10.0                            |
| 4012     | 10.0                            |
| 4013     | 10.0                            |
| 4014     | 10.0                            |
| 4015     | 10.0                            |
| 4016     | 10.0                            |
| 4017     | 10.0                            |
| 4025     | 10.0                            |
| 4026     | 10.0                            |
| 4028     | 10.0                            |
| 4029     | 10.0                            |
| 4030     | 10.0                            |
| 4031     | 10.0                            |
| 4032     | 10.0                            |
| 4034     | 10.0                            |
| 4035     | 10.0                            |
| 4039     | 10.0                            |
| 4040     | 10.0                            |
| 4041     | 10.0                            |
| 4044     | 10.0                            |
| 4045     | 10.0                            |
| 4047     | 10.0                            |
| 4049     | 10.0                            |
| 4050     | 10.0                            |
| 4051     | 10.0                            |
| 4052     | 10.0                            |
| 4053     | 10.0                            |
| 4054     | 10.0                            |
| 4055     | 10.0                            |
| 4059     | 10.0                            |
| 4060     | 10.0                            |
| 4061     | 10.0                            |
| 4063     | 10.0                            |
| 4064     | 10.0                            |
| 4065     | 10.0                            |
| 4066     | 10.0                            |
| 4067     | 10.0                            |
| 4068     | 10.0                            |
| 4069     | 10.0                            |
| 4070     | 10.0                            |
| 4071     | 10.0                            |
| 4072     | 10.0                            |
| 4073     | 10.0                            |
| 4074     | 10.0                            |
| 4076     | 10.0                            |
| 4077     | 10.0                            |
| 4078     | 10.0                            |
| 4079     | 10.0                            |
| 4080     | 10.0                            |
| 4081     | 10.0                            |
| 4082     | 10.0                            |
| 4113     | 10.0                            |
| 4114     | 10.0                            |
| 4115     | 10.0                            |
| 4116     | 10.0                            |
| 4125     | 10.0                            |
| 4126     | 10.0                            |
| 4127     | 10.0                            |
| 4129     | 10.0                            |
| 4130     | 10.0                            |
| 4131     | 10.0                            |
| 4132     | 10.0                            |
| 4134     | 10.0                            |
| 4135     | 10.0                            |
| 4138     | 10.0                            |
| 4140     | 10.0                            |
| 4141     | 10.0                            |
| 4143     | 10.0                            |
| 4144     | 10.0                            |
| 4145     | 10.0                            |
| 4146     | 10.0                            |
| 4147     | 10.0                            |
| 4148     | 10.0                            |
| 4149     | 10.0                            |
| 4151     | 10.0                            |
| 4152     | 10.0                            |
| 4153     | 10.0                            |
| 4154     | 10.0                            |
| 4155     | 10.0                            |
| 4156     | 10.0                            |
| 3676     | 10.0-bar                        |
| 3691     | 10.0-bar                        |
| 3697     | 10.0-bar                        |
| 3698     | 10.0-bar                        |
| 3699     | 10.0-bar                        |
| 3700     | 10.0-bar                        |
| 3701     | 10.0-bar                        |
| 3702     | 10.0-bar                        |
| 3703     | 10.0-bar                        |
| 3704     | 10.0-bar                        |
| 3705     | 10.0-bar                        |
| 3706     | 10.0-bar                        |
| 3707     | 10.0-bar                        |
| 3708     | 10.0-bar                        |
| 3709     | 10.0-bar                        |
| 3710     | 10.0-bar                        |
| 3711     | 10.0-bar                        |
| 3712     | 10.0-bar                        |
| 3713     | 10.0-bar                        |
| 3715     | 10.0-bar                        |
| 3716     | 10.0-bar                        |
| 3773     | 10.0-bar                        |
| 3817     | 10.0-bar                        |
| 3847     | 10.0-bar                        |
| 3866     | 10.0-bar                        |
| 3870     | 10.0-bar                        |
| 3871     | 10.0-bar                        |
| 3885     | 10.0-bar                        |
| 3427     | 10.0-base                       |
| 3428     | 10.0-base                       |
| 3429     | 10.0-base                       |
| 3430     | 10.0-base                       |
| 3431     | 10.0-base                       |
| 3432     | 10.0-base                       |
| 3433     | 10.0-base                       |
| 3434     | 10.0-base                       |
| 3435     | 10.0-base                       |
| 3436     | 10.0-base                       |
| 3438     | 10.0-base                       |
| 3439     | 10.0-base                       |
| 3440     | 10.0-base                       |
| 3441     | 10.0-base                       |
| 3442     | 10.0-base                       |
| 3443     | 10.0-base                       |
| 3444     | 10.0-base                       |
| 3445     | 10.0-base                       |
| 3446     | 10.0-base                       |
| 3447     | 10.0-base                       |
| 3448     | 10.0-base                       |
| 3449     | 10.0-base                       |
| 3451     | 10.0-base                       |
| 3452     | 10.0-base                       |
| 3454     | 10.0-base                       |
| 3455     | 10.0-base                       |
| 3456     | 10.0-base                       |
| 3457     | 10.0-base                       |
| 3458     | 10.0-base                       |
| 3460     | 10.0-base                       |
| 3461     | 10.0-base                       |
| 3462     | 10.0-base                       |
